id,longitude,latitude,depth_km,magnitude,is_synthetic,sample_weight,method,time,rupture_length_km,rupture_width_km,rupture_area_km2
SYN_SIMPLE_001,28.0401021435845,40.91841256185339,5.561195740680384,6.669957067190751,1,0.2,simple,2021-12-21 00:46:18,30.58394693098356,15.29197346549178,467.68890493860937
SYN_SIMPLE_002,30.089325996144982,40.69751288035406,13.780506804398795,6.912736979000557,1,0.2,simple,2022-08-11 08:06:48,40.446736650119334,20.223368325059667,817.9692528220532
SYN_SIMPLE_003,27.573589447206313,40.58043899363718,15.040695598973524,6.963411595709179,1,0.2,simple,2008-11-05 11:44:47,42.876645022542995,21.438322511271497,919.2033441945805
SYN_SIMPLE_004,27.04312310665631,40.449604558615476,14.298989154176063,7.062265964305242,1,0.2,simple,2004-07-17 14:17:26,48.04497591249561,24.022487956247804,1154.1598552161418
SYN_SIMPLE_005,26.692525220682242,39.560105562404715,9.897989348191249,7.212654008935629,1,0.2,simple,2012-03-16 07:38:54,57.12707687579409,28.563538437897044,1631.7514561864439
SYN_SIMPLE_006,28.223878424000464,40.66956712176822,17.123347704776233,7.142795282282809,1,0.2,simple,2025-08-27 00:33:48,52.71238165348049,26.356190826740246,1389.2975897910935
SYN_SIMPLE_007,29.03503943151744,40.987017626405006,5.466268434042326,6.804899606934209,1,0.2,simple,2019-02-01 12:04:11,35.724388307490614,17.862194153745307,638.1159599721861
SYN_SIMPLE_008,28.912541721318927,40.43910051559255,15.310676923331803,7.03713674972004,1,0.2,simple,2012-08-28 16:39:42,46.67489747833798,23.33744873916899,1089.2730273066807
SYN_SIMPLE_009,27.7651800737611,40.086006487624765,9.624237314056046,6.643178873371553,1,0.2,simple,2007-03-16 16:48:05,29.655444263706904,14.827722131853452,439.72268723891335
SYN_SIMPLE_010,27.905982634720633,40.89216826615606,11.617071112055436,7.206190321067721,1,0.2,simple,2010-02-07 05:37:45,56.70353812475209,28.351769062376047,1607.645617932607
