time,magnitude,longitude,latitude,depth_km,id,is_synthetic,sample_weight,method,log_energy,datetime,year,rupture_length_km,rupture_width_km,rupture_area_km2
2025-04-23 13:02:32,7.246811061283866,28.401,40.8557,6.9,SYN_EQ_000260,1,0.3,bootstrap,15.670216591925797,2025-04-23 13:02:32,2025,68.4886374422693,20.36946111273666,1395.0766370446242
2025-04-23 15:12:57,7.300356513203191,28.3178,40.8225,12.7,SYN_EQ_000331,1,0.3,bootstrap,15.750534769804787,2025-04-23 15:12:57,2025,73.65637526404122,21.18917677740913,1560.7179562529545
2023-12-04 10:42:20,6.918765814476233,28.8598,40.402,5.4,SYN_EQ_001191,1,0.3,bootstrap,15.178148721714349,2023-12-04 10:42:20,2023,43.8603234967352,15.995766676319167,701.5795010016554
2019-09-26 13:59:24,7.934280811566879,28.2095,40.8823,12.3,SYN_EQ_003025,1,0.3,bootstrap,16.701421217350315,2019-09-26 13:59:24,2019,174.2712229307902,33.80413751168651,5891.088384282208
2019-02-20 21:23:27,7.208071611084555,26.4387,39.626,7.6,SYN_EQ_003429,1,0.3,bootstrap,15.612107416626834,2019-02-20 21:23:27,2019,64.97738818103579,19.79624935356561,1286.3085787752116
2014-05-24 12:31:18,6.76784272801822,26.2398,40.427,7.2,SYN_EQ_007051,1,0.3,bootstrap,14.951764092027329,2014-05-24 12:31:18,2014,35.72952228038539,14.31230797742702,511.37192676321627
2013-07-30 08:33:08,6.87096555552884,25.7803,40.3037,9.8,SYN_EQ_007977,1,0.3,bootstrap,15.10644833329326,2013-07-30 08:33:08,2013,41.10263626105647,15.442193060688707,634.7148444464982
2013-01-09 17:41:33,7.188851186099708,25.7202,39.6713,6.4,SYN_EQ_008598,1,0.3,bootstrap,15.583276779149562,2013-01-09 17:41:33,2013,63.30269501025425,19.51786813593542,1235.5336538594795
2012-06-07 23:54:25,6.990517333054907,27.921,40.8483,14.9,SYN_EQ_009192,1,0.3,bootstrap,15.285775999582361,2012-06-07 23:54:25,2012,48.350973933837054,16.864192331776387,815.4001238489348
2011-07-25 20:57:20,6.8537514800478085,27.7388,40.8108,15.3,SYN_EQ_010356,1,0.3,bootstrap,15.080627220071712,2011-07-25 20:57:20,2011,40.152572341842706,15.247564304661648,612.2289287798254
2010-11-03 04:51:27,7.348697155069363,26.3332,40.4232,15.3,SYN_EQ_011232,1,0.3,bootstrap,15.823045732604045,2010-11-03 04:51:27,2010,78.65590303635145,21.957510020698873,1727.0877791078058
2008-12-29 00:58:57,7.453364935707956,25.7602,40.4047,8.6,SYN_EQ_013123,1,0.3,bootstrap,15.980047403561933,2008-12-29 00:58:57,2008,90.67452977453381,23.71792980637983,2150.6121324188907
2006-10-24 17:00:21,7.457553167319859,28.9947,40.424,14.3,SYN_EQ_014115,1,0.3,bootstrap,15.986329750979788,2006-10-24 17:00:21,2006,91.19192190283809,23.791236465308124,2169.568577716332
2006-10-20 21:15:24,7.303354038641249,27.9843,40.2635,12.9,SYN_EQ_014135,1,0.3,bootstrap,15.755031057961872,2006-10-20 21:15:24,2006,73.95693132519378,21.23602815023118,1570.5514755265294
2004-06-15 15:02:36,7.141950077959965,25.7607,40.4487,7.7,SYN_EQ_015204,1,0.3,bootstrap,15.512925116939947,2004-06-15 15:02:36,2004,59.395090171170274,18.854890950151635,1119.8879481518388
2003-07-06 22:10:28,7.285133263659553,26.2055,40.4243,9.1,SYN_EQ_015760,1,0.3,bootstrap,15.72769989548933,2003-07-06 22:10:28,2003,72.14871915892716,20.952827828855746,1511.7196906094669
2003-06-09 20:44:03,7.143817094188815,27.9685,40.2027,14.7,SYN_EQ_015799,1,0.3,bootstrap,15.515725641283222,2003-06-09 20:44:03,2003,59.54593041493228,18.880846877019085,1124.2775943139698
